Task,Method,SelectedPanelSize,MeanJaccard,SDJaccard,Pairs,EvidenceLevel
FPG_KARE,Boruta,10,0.6240212690535271,0.11614817726947846,7750,selection stability conditional on the inner-selected panel size
FPG_KARE,ElasticNet,3,,,0,selection stability conditional on the inner-selected panel size
FPG_KARE,ElasticNet,5,0.5859022556390978,0.16620295205105523,190,selection stability conditional on the inner-selected panel size
FPG_KARE,ElasticNet,10,0.6006687425039527,0.11975918660602933,26106,selection stability conditional on the inner-selected panel size
FPG_KARE,LLSS,3,0.675032175032175,0.23851410281775698,6216,selection stability conditional on the inner-selected panel size
FPG_KARE,LLSS,5,0.706438715837212,0.22013192763489509,1596,selection stability conditional on the inner-selected panel size
FPG_KARE,LLSS,10,0.833068577513022,0.10620987905089074,3240,selection stability conditional on the inner-selected panel size
FPG_KARE,Lasso,3,0.5,,1,selection stability conditional on the inner-selected panel size
FPG_KARE,Lasso,5,0.6624007936507936,0.17900637861058075,120,selection stability conditional on the inner-selected panel size
FPG_KARE,Lasso,10,0.5864760612577452,0.11876197429187374,26796,selection stability conditional on the inner-selected panel size
FPG_KARE,LongGroupLasso,3,0.8145945945945946,0.2415544759656071,2775,selection stability conditional on the inner-selected panel size
FPG_KARE,LongGroupLasso,5,0.6365909459021705,0.15858658845689153,1176,selection stability conditional on the inner-selected panel size
FPG_KARE,LongGroupLasso,10,0.6576184873327731,0.12179383956094146,7875,selection stability conditional on the inner-selected panel size
FPG_KARE,MutualInfo,3,0.5333333333333333,0.12909944487358058,15,selection stability conditional on the inner-selected panel size
FPG_KARE,MutualInfo,5,0.357641723356009,0.1258384013610524,1225,selection stability conditional on the inner-selected panel size
FPG_KARE,MutualInfo,10,0.3334307725597833,0.10575791640076528,18721,selection stability conditional on the inner-selected panel size
FPG_KARE,OutcomeSNN-FS,3,,,0,selection stability conditional on the inner-selected panel size
FPG_KARE,OutcomeSNN-FS,5,0.6753246753246753,0.17339311670973498,66,selection stability conditional on the inner-selected panel size
FPG_KARE,OutcomeSNN-FS,10,0.6347144000008191,0.11693284864702108,27966,selection stability conditional on the inner-selected panel size
FPG_KARE,PGEE,3,1.0,0.0,630,selection stability conditional on the inner-selected panel size
FPG_KARE,PGEE,5,0.6349749945640357,0.160041042651874,2628,selection stability conditional on the inner-selected panel size
FPG_KARE,PGEE,10,0.5879658419931977,0.12447076200396409,9870,selection stability conditional on the inner-selected panel size
FPG_KARE,RandomForest,3,0.7565765765765766,0.24995852394049495,2775,selection stability conditional on the inner-selected panel size
FPG_KARE,RandomForest,5,0.6358005007558579,0.1623347533319949,2016,selection stability conditional on the inner-selected panel size
FPG_KARE,RandomForest,10,0.6281238553965827,0.13007863996826954,6105,selection stability conditional on the inner-selected panel size
FPG_KARE,SNN-FS,3,0.43333333333333335,0.31411250638372656,6,selection stability conditional on the inner-selected panel size
FPG_KARE,SNN-FS,5,0.5085034013605442,0.16158431673777582,91,selection stability conditional on the inner-selected panel size
FPG_KARE,SNN-FS,10,0.5657912645149547,0.12733925847481117,26796,selection stability conditional on the inner-selected panel size
FPG_KARE,StabilitySelection,3,0.4066666666666667,0.2789435853528878,15,selection stability conditional on the inner-selected panel size
FPG_KARE,StabilitySelection,5,0.5186482000207491,0.20503065256895345,153,selection stability conditional on the inner-selected panel size
FPG_KARE,StabilitySelection,10,0.529848406489045,0.13124088514130813,25425,selection stability conditional on the inner-selected panel size
FPG_KARE,Stabl-RP,3,0.7006930693069306,0.24511369557544185,5050,selection stability conditional on the inner-selected panel size
FPG_KARE,Stabl-RP,5,0.6478773293841787,0.1789168746615179,2701,selection stability conditional on the inner-selected panel size
FPG_KARE,Stabl-RP,10,0.7588800388800391,0.11615717361968632,2775,selection stability conditional on the inner-selected panel size
FPG_KARE,geeVerse,3,0.6038095238095238,0.2630895612070483,105,selection stability conditional on the inner-selected panel size
FPG_KARE,geeVerse,5,0.7028769841269842,0.28486015050259306,120,selection stability conditional on the inner-selected panel size
FPG_KARE,geeVerse,10,0.9321051262423637,0.14093991583006876,23871,selection stability conditional on the inner-selected panel size
FPG_KARE,glmmLasso,3,0.9736842105263158,0.11172793251547948,703,selection stability conditional on the inner-selected panel size
FPG_KARE,glmmLasso,5,0.7206005004170142,0.17276655241155803,5995,selection stability conditional on the inner-selected panel size
FPG_KARE,glmmLasso,10,0.5838158476481131,0.10246713068256691,5151,selection stability conditional on the inner-selected panel size
FPG_KARE,mRMR,3,0.8584876543209876,0.22526893091096137,3240,selection stability conditional on the inner-selected panel size
FPG_KARE,mRMR,5,0.6860013508949679,0.1954771365693688,1128,selection stability conditional on the inner-selected panel size
FPG_KARE,mRMR,10,0.6336362443800461,0.14311912963487589,7260,selection stability conditional on the inner-selected panel size
GSE41848_MS,Boruta,3,0.5580133128520225,0.18309314632861942,1953,selection stability conditional on the inner-selected panel size
GSE41848_MS,Boruta,5,0.4280027364374271,0.16024493900639575,1891,selection stability conditional on the inner-selected panel size
GSE41848_MS,Boruta,10,0.3344310669412037,0.10550596255105446,7750,selection stability conditional on the inner-selected panel size
