Task,TaskType,Method,SelectedPanelSize,Metric,Mean,SD,OuterFolds,EvidenceLevel
FPG,regression,MutualInfo,5,RMSE,27.68315501143379,2.2453616949648114,46,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,MutualInfo,10,RMSE,27.824343763374277,1.953363198556146,177,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,OutcomeSNN-FS,3,RMSE,28.477355974684134,2.1913252133387027,24,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,OutcomeSNN-FS,5,RMSE,27.436352588446073,2.07558138473207,35,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,OutcomeSNN-FS,10,RMSE,27.718860726994254,1.9945172684811365,191,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,PGEE,3,RMSE,28.076897239953517,2.4106448048428675,22,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,PGEE,5,RMSE,28.010887783419793,2.097857941626257,69,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,PGEE,10,RMSE,27.817772214407302,2.0402446076556977,159,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,RandomForest,3,RMSE,27.54993738183257,2.155708513408976,18,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,RandomForest,5,RMSE,27.789778548257647,1.9063944715033785,84,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,RandomForest,10,RMSE,27.655632931845254,2.048405728559996,148,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,SNN-FS,3,RMSE,28.212040431224644,2.0410900612207086,36,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,SNN-FS,5,RMSE,28.084550722798355,2.156930445337891,32,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,SNN-FS,10,RMSE,27.675401711045716,2.0619212296578247,182,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,StabilitySelection,3,RMSE,32.30735806215721,1.1424923198101258,4,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,StabilitySelection,5,RMSE,31.639192089762425,2.010397846837633,44,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,StabilitySelection,10,RMSE,31.208962901705274,2.055836381191353,202,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Stabl-RP,3,RMSE,27.47494661506201,1.6139921728733095,12,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Stabl-RP,5,RMSE,28.21257000953717,2.6394081009609445,24,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Stabl-RP,10,RMSE,27.43948101700037,1.9295879705567058,214,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,geeVerse,3,RMSE,35.11240025428268,,1,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,geeVerse,5,RMSE,36.103857732656564,4.258169469662282,4,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,geeVerse,10,RMSE,29.92584669931307,3.644464866066066,245,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,glmmLasso,3,RMSE,27.139109899498013,1.8699791754738293,49,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,glmmLasso,5,RMSE,27.766429558957462,1.9400725352200598,60,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,glmmLasso,10,RMSE,27.76096262412926,2.013405415130021,141,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,mRMR,3,RMSE,28.371100047943763,1.7337487173351296,34,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,mRMR,5,RMSE,28.341251492365195,1.946726713048025,68,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,mRMR,10,RMSE,27.552873327094513,2.1124864812306194,148,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Boruta,3,RMSE,11.569513158807316,1.6467962394726978,65,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Boruta,5,RMSE,11.576691449373104,1.8451581555006367,60,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Boruta,10,RMSE,11.59512011287024,1.8024397417719469,125,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,ElasticNet,3,RMSE,14.30107134543776,,1,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,ElasticNet,5,RMSE,11.968434161284474,1.7014166762446914,20,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,ElasticNet,10,RMSE,11.44879943412995,1.6874753565282532,229,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,LLSS,3,RMSE,11.508300252657758,1.7213633118229792,112,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,LLSS,5,RMSE,11.652813666917188,1.7640566147517698,57,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,LLSS,10,RMSE,11.828660118859208,1.9299956615622467,81,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
