Task,Dataset,Cohort,TaskType,Method,Budget,MeanJaccard,SDJaccard,MedianJaccard,MinJaccard,MaxJaccard,PairCount,Repeats,Folds
FPG,Japan T2D,Japan T2D,regression,Lasso,10,0.5902781898373736,0.17655647311268133,0.6666666666666666,0.18181818181818182,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Boruta,10,0.5878344947569438,0.17467440332046158,0.5384615384615384,0.3,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,RandomForest,10,0.5736586298055686,0.16099529800526596,0.5,0.18181818181818182,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,OutcomeSNN-FS,10,0.5734038614446778,0.17886121335894628,0.5384615384615384,0.18181818181818182,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,ElasticNet,10,0.5712375379722319,0.17650243513615002,0.5384615384615384,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,SNN-FS,10,0.5468109115374421,0.18141644899867249,0.5384615384615384,0.18181818181818182,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,MutualInfo,10,0.4827042318225992,0.14187633727069754,0.5,0.18181818181818182,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,StabilitySelection,10,0.4612270543382188,0.15501549774624096,0.42857142857142855,0.0,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,mRMR,10,0.34142324374305166,0.14923840228222632,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,geeVerse,10,0.29643449924127246,0.15946401952920983,0.25,0.0,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,mRMR,3,0.8653061224489796,0.22183897949868425,1.0,0.5,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,LongGroupLasso,3,0.8073469387755102,0.24335364666948933,1.0,0.5,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,RandomForest,3,0.7495510204081632,0.25002000746397574,0.5,0.5,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Boruta,3,0.7414693877551021,0.24987481369603531,0.5,0.5,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Stabl-RP,3,0.7231020408163266,0.2485690797300807,0.5,0.5,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,geeVerse,3,0.7202775510204082,0.2843459751772269,0.5,0.0,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,LLSS,3,0.657469387755102,0.23226470557030052,0.5,0.5,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Lasso,3,0.6000489795918367,0.27927836503631115,0.5,0.2,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,ElasticNet,3,0.5942857142857143,0.27900050216623934,0.5,0.2,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,StabilitySelection,3,0.5794775510204082,0.2509519199513081,0.5,0.0,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,SNN-FS,3,0.5032816326530613,0.2534877673599308,0.5,0.2,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,MutualInfo,3,0.4632816326530612,0.19236404395199205,0.5,0.0,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,OutcomeSNN-FS,3,0.4584489795918367,0.2363778157959778,0.5,0.2,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,geeVerse,5,0.713412892776158,0.27886653697283864,0.6666666666666666,0.0,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,mRMR,5,0.6538771622934888,0.1804485752616007,0.6,0.25,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,RandomForest,5,0.6143028182701651,0.15763288114893195,0.6,0.25,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,LongGroupLasso,5,0.6140237123420796,0.16174815753047925,0.6,0.25,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,LLSS,5,0.6093131195335276,0.18725942085808803,0.6,0.25,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Boruta,5,0.602818270165209,0.16303889452846776,0.6,0.25,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,ElasticNet,5,0.6020295432458699,0.1832521572442085,0.6666666666666666,0.1111111111111111,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Stabl-RP,5,0.5966413994169096,0.17909349082640447,0.6,0.25,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Lasso,5,0.5951092970521542,0.18190114235456528,0.6666666666666666,0.1111111111111111,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,StabilitySelection,5,0.5610695173307418,0.18479117918811638,0.6666666666666666,0.1111111111111111,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,SNN-FS,5,0.5318082280531261,0.18871311533407847,0.42857142857142855,0.1111111111111111,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,OutcomeSNN-FS,5,0.5288607709750568,0.17897275730321585,0.42857142857142855,0.1111111111111111,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,MutualInfo,5,0.3505387755102041,0.13387395321630258,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,geeVerse,10,0.8084432682963296,0.26479900524772854,1.0,0.08333333333333333,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,OutcomeSNN-FS,10,0.616692776611144,0.12741293724188715,0.6666666666666666,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,ElasticNet,10,0.5784082937470693,0.1270842147012856,0.5384615384615384,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Lasso,10,0.5687035359198624,0.12547281325714457,0.5384615384615384,0.14285714285714285,1.0,6125,50,5
