Scope,TaskType,Metric,MethodA,MethodB,MeanDifference_AminusB_oriented,MedianDifference_AminusB_oriented,NPairedRepeats,PValue,PValueHolmWithinTask
FPG,regression,RMSE,LongGroupLasso,MutualInfo,0.1518896961144405,0.1327318079249391,50,1.370373858833318e-08,7.400018837699918e-07
FPG,regression,RMSE,LongGroupLasso,Boruta,0.06966034658473255,0.050180371570967,50,0.00021178724761483636,0.0067771919236747635
FPG,regression,RMSE,LongGroupLasso,mRMR,0.2699210211781896,0.2690284619287464,50,8.881784197001252e-15,7.460698725481052e-13
FPG,regression,RMSE,LongGroupLasso,SNN-FS,0.1983326150470851,0.18008769742757558,50,1.9077969426462005e-08,1.0111323796024863e-06
FPG,regression,RMSE,LongGroupLasso,OutcomeSNN-FS,0.1440728983723985,0.16163802929737514,50,2.1499046276574063e-07,1.031954221275555e-05
FPG,regression,RMSE,LongGroupLasso,geeVerse,2.369954168142415,2.249267630898112,50,3.552713678800501e-15,3.197442310920451e-13
FPG,regression,RMSE,LongGroupLasso,glmmLasso,-0.03509536746372888,-0.0419729177344923,50,0.024847675451864504,0.44725815813356107
FPG,regression,RMSE,LongGroupLasso,PGEE,0.21838819177877894,0.24710951791171354,50,3.40367733997482e-11,2.1443167241841365e-09
FPG,regression,RMSE,LLSS,RandomForest,0.14637230377987698,0.1335529467747687,50,8.842704346534447e-12,6.101465999108768e-10
FPG,regression,RMSE,LLSS,MutualInfo,0.21576537992400815,0.19907125675809212,50,2.022026990289305e-11,1.3345378135909414e-09
FPG,regression,RMSE,LLSS,Boruta,0.1335360303943002,0.1327842308482765,50,3.134559278805682e-10,1.7866987889192387e-08
FPG,regression,RMSE,LLSS,mRMR,0.33379670498775726,0.3477150510600584,50,5.329070518200751e-15,4.583000645652646e-13
FPG,regression,RMSE,LLSS,SNN-FS,0.26220829885665276,0.29165863016463334,50,1.4432899320127035e-10,8.659739592076221e-09
FPG,regression,RMSE,LLSS,OutcomeSNN-FS,0.20794858218196616,0.21398266287407175,50,1.4432899320127035e-10,8.659739592076221e-09
FPG,regression,RMSE,LLSS,geeVerse,2.433829851951983,2.350520067987844,50,3.552713678800501e-15,3.197442310920451e-13
FPG,regression,RMSE,LLSS,glmmLasso,0.02878031634583877,0.04531539856487754,50,0.09513333936720869,1.0
FPG,regression,RMSE,LLSS,PGEE,0.2822638755883466,0.3141750972873911,50,5.453415496958769e-13,4.035527467749489e-11
FPG,regression,RMSE,RandomForest,MutualInfo,0.06939307614413118,0.059349548080991354,50,0.004316904154682888,0.10360569971238931
FPG,regression,RMSE,RandomForest,Boruta,-0.012836273385576788,-0.00218747197811453,50,0.6736344940466168,1.0
FPG,regression,RMSE,RandomForest,mRMR,0.18742440120788026,0.20719610311076053,50,1.0192735544478637e-11,6.931060170245473e-10
FPG,regression,RMSE,RandomForest,SNN-FS,0.11583599507677576,0.12832834060890974,50,0.0005966978973450665,0.017900936920351995
FPG,regression,RMSE,RandomForest,OutcomeSNN-FS,0.06157627840208917,0.06390178303968774,50,0.03286210881230289,0.5257937409968463
FPG,regression,RMSE,RandomForest,geeVerse,2.287457548172106,2.296165557139192,50,5.329070518200751e-15,4.583000645652646e-13
FPG,regression,RMSE,RandomForest,glmmLasso,-0.11759198743403822,-0.1023435200487075,50,1.4543591948523726e-06,6.253744537865202e-05
FPG,regression,RMSE,RandomForest,PGEE,0.1358915718084696,0.1394099756915459,50,2.5156639491541455e-06,0.00010314222191531996
FPG,regression,RMSE,MutualInfo,Boruta,-0.08222934952970797,-0.10023467719786083,50,0.0017779629774352657,0.04978296336818744
FPG,regression,RMSE,MutualInfo,mRMR,0.11803132506374908,0.09243822662763712,50,1.6896629077223224e-05,0.000675865163088929
FPG,regression,RMSE,MutualInfo,SNN-FS,0.046442918932644586,0.025277102938114027,50,0.3044806608698192,1.0
FPG,regression,RMSE,MutualInfo,OutcomeSNN-FS,-0.007816797742042,-0.0026165463108522857,50,0.9010179923007229,1.0
FPG,regression,RMSE,MutualInfo,geeVerse,2.218064472027975,2.10731983748175,50,3.552713678800501e-15,3.197442310920451e-13
FPG,regression,RMSE,MutualInfo,glmmLasso,-0.18698506357816938,-0.1643607158255751,50,3.3822118439275073e-09,1.860216514160129e-07
FPG,regression,RMSE,MutualInfo,PGEE,0.06649849566433844,0.0742870657042225,50,0.011200519477185367,0.25761194797526343
FPG,regression,RMSE,Boruta,mRMR,0.20026067459345703,0.21567375017546553,50,2.6343371928305714e-12,1.8967227788380114e-10
FPG,regression,RMSE,Boruta,SNN-FS,0.12867226846235255,0.13754631990221355,50,0.0001628744437223162,0.005374856642836434
FPG,regression,RMSE,Boruta,OutcomeSNN-FS,0.07441255178766597,0.023438820032769314,50,0.012931948668784443,0.28450287071325775
FPG,regression,RMSE,Boruta,geeVerse,2.300293821557683,2.185055555713811,50,3.552713678800501e-15,3.197442310920451e-13
FPG,regression,RMSE,Boruta,glmmLasso,-0.10475571404846143,-0.12014068843853032,50,6.354784893858323e-07,2.9232010511748285e-05
FPG,regression,RMSE,Boruta,PGEE,0.1487278451940464,0.18786240688613098,50,6.354784893858323e-07,2.9232010511748285e-05
FPG,regression,RMSE,mRMR,SNN-FS,-0.0715884061311045,-0.09959156690100102,50,0.025500083179634814,0.44725815813356107
FPG,regression,RMSE,mRMR,OutcomeSNN-FS,-0.12584812280579108,-0.11302999532046698,50,5.374574670646837e-05,0.0018811011347263928
FPG,regression,RMSE,mRMR,geeVerse,2.1000331469642255,1.9675664956755323,50,1.7763568394002505e-14,1.4033219031261979e-12
